Full author list,First Author(s) & Year,Article Title,Application/Technology,Tech Used,Drone type,is_ag,DOI Link,Abstract,Country(ies),Tools,SEA_status,Section_relevance,In_manuscript
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba97e380>,Panghurian et al. (2024),Comparison of Resnet Models in UNet Classifier for Mapping Oil Palm Plantation Area with Semantic Segmentation Approach,Oil palm plantation area mapping,Satellite,,1,N/A,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba97e3e0>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba97e440>,SEA,"2.1 Remote Sensing, 2.4 AI Models",Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba97ea10>,Pasha & Dadhwal (2023),Rubber expansion and age-class mapping in the state of Tripura (India) 1990-2021 using multi-year and multi-sensor data,Rubber expansion & age-class mapping,Satellite,,1,10.1007/s10661-023-10942-2,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba97ea70>,India,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba97ead0>,Non-SEA → review for removal,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba97f0a0>,Pasha & Dadhwal (2024),Age-Based Stratification to Estimate Aboveground Biomass (AGB) and Carbon Stocks of Rubber Plantations in Tripura,Rubber plantation biomass and carbon stock,Satellite,,1,10.1007/s12524-023-01751-8,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba97f100>,India,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba97f160>,Non-SEA → review for removal,2.1 Remote Sensing; 3.1 HTP/Phenotyping,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba97f730>,Patocka et al. (2024),Using a weighted Voronoi diagram for forest thinning proposal and skidding trail layouts for teak plantations in Thailand,Forest thinning & skidding trail layouts,Drone,,0,10.19182/bft2024.361.a37219,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba97f790>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba97f7f0>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba97fdc0>,Patnukao et al. (2024),"Tracing human settlements: analyzing the spatio-temporal distribution of Buddhist temples in Nakhon Si Thammarat, Thailand",Buddhist temple distribution analysis,NA (GIS),,0,10.1007/s10708-024-11056-z,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba97fe20>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba97fe80>,SEA,General,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba990490>,Peng et al. (2025),Newly established forests dominated global carbon sequestration change induced by land cover conversions,Carbon sequestration from LCC,Satellite,,0,10.1038/s41467-025-61956-y,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9904f0>,Global,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba990550>,Background (keep),2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba990b20>,Pengphorm et al. (2024),Optimal-Band Analysis for Chlorophyll Quantification in Rice Leaves Using a Custom Hyperspectral Imaging System,Chlorophyll quantification in rice leaves,Sensors (Hyperspectral),,1,10.3390/plants13020259,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba990b80>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba990be0>,SEA,2.1 Remote Sensing; 2.2 IoT,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9911b0>,Penny et al. (2023),"Analysis of potential nature-based solutions for the Mun River Basin, Thailand",Nature-based solutions for river basins,NA (GIS),,0,10.2166/wst.2023.050,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba991210>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba991270>,SEA,General,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba991840>,Penny et al. (2023),Using multi criteria decision analysis in a geographical information system framework to assess drought risk,Drought risk assessment,NA (MCDA-GIS),,0,10.1016/j.wroa.2023.100190,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9918a0>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba991900>,SEA,General,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba991ed0>,Permatasari et al. (2024),"Analysis of Impact of the 2021 Eruption of the Semeru Volcano in Lumajang Regency, East Java Province, Indonesia",Volcano eruption impact assessment,Satellite,,0,10.1117/12.3012516,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba991f30>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba991f90>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba992560>,Persello et al. (2023),AI4SmallFarms: A Dataset for Crop Field Delineation in Southeast Asian Smallholder Farms,Crop field delineation dataset creation,Satellite,,1,10.1109/LGRS.2023.3323095,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9925c0>,"Vietnam, Cambodia",<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba992620>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba992bf0>,Peter et al. (2024),Perspectives on modifiable spatiotemporal unit problems in remote sensing of agriculture: evaluating rice production in Vietnam and tools for analysis,Rice production analysis,Satellite,,1,10.3389/frsen.2024.1042624,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba992c50>,Vietnam,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba992cb0>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba993280>,Phalke et al. (2024),Rice Yield Monitoring Using Satellite Data and AI for Food Security and Sustainable Landscapes in Myanmar,Rice yield monitoring,Satellite,,1,10.1109/IGARSS53475.2024.10642947,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9932e0>,Myanmar,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba993340>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba993910>,Pham et al. (2024),BANANA REIGNS WILT BASED ON MACHINE LEARNING AND UAV-BASED MULTISPECTRAL IMAGERY,Banana wilt disease monitoring,Drone,ms,1,10.21163/GT_2025.201.22,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba993970>,Vietnam,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9939d0>,SEA,"2.1 Remote Sensing, 2.4 AI Models",No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba993fa0>,Pham et al. (2023),Land-Use and Land-Cover Change Detection and Classification to Analyze Dynamics of Dragon Fruit Farming in Sand Dunes Area of Binh Thuan Province of Vietnam,Dragon fruit farming dynamics analysis,Satellite,,1,10.1007/978-3-031-20463-0_26,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9ac040>,Vietnam,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9ac0a0>,SEA,2.1 Remote Sensing; 2.3 Robotics,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9ac670>,Pham et al. (2024),Multi-spectral remote sensing and GIS-based analysis for decadal land use land cover changes and future prediction using random forest tree and artificial neural network,LULC change detection & future prediction,Satellite,,0,10.1016/j.asr.2024.03.027,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9ac6d0>,Vietnam,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9ac730>,SEA,"2.1 Remote Sensing, 2.4 AI Models",No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9acd00>,Phoksawat et al. (2025),Data and Geospatial Information Management Web Application for Enhancing the Competitiveness of Trang Pepper Large Agricultural Plot of Community Enterprise,Trang pepper geospatial information management,"NA (GPS, Web App)",,1,10.18421/TEM141-11,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9acd60>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9acdc0>,SEA,General,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9ad390>,Phromsin & Suksawang (2023),"Preparing Urban Agriculture as a Tool for Food Security in a Municipality: A Case Study of the Huay Lan Subdistrict Municipality, Dok Khamtai District, Phayao Province, Thailand",Urban agriculture for food security,NA (GIS),,1,10.3390/su151712681,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9ad3f0>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9ad450>,SEA,Intro/Background,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9ada20>,Ponce-Machete & Fajardo (2025),Optimizing Fruit Yield Prediction: Evaluating Multi-Object Tracking Algorithms for Calamansi Fruit Detection Using YOLOv8m,Fruit yield prediction,Images,,1,10.1109/ICCAE64891.2025.10980575,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9ada80>,Philippines,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9adae0>,SEA,General,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9ae0b0>,Prasertsoong & Puttanapong (2025),An integrated framework for satellite-based flood mapping and socioeconomic risk analysis: A case of Thailand,Flood mapping & socioeconomic risk analysis,Satellite,,0,10.1016/j.pdisas.2024.100393,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9ae110>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9ae170>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9ae740>,Prasetya et al. (2025),Enhancing soil total nitrogen prediction in rice fields using advanced Geo-AI integration of remote sensing data and environmental covariates,Soil total nitrogen prediction in rice fields,Satellite,,1,10.1016/j.atech.2024.100741,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9ae7a0>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9ae800>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9aedd0>,Prasvita et al. (2023),Automatic Detection of Oil Palm Growth Rate Status with YOLOv5,Oil palm growth rate detection,Drone,,1,N/A,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9aee30>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9aee90>,SEA,"2.1 Remote Sensing, 2.4 AI Models",No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9af460>,Prempree et al. (2023),Environmental Factors Linked to Reporting of Active Malaria Foci in Thailand,Environmental factors of active malaria foci,Satellite,,0,10.3390/tropicalmed8030179,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9af4c0>,"Thailand, Myanmar",<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9af520>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9afaf0>,Pribadi et al. (2023),Mapping smallholder plantation as a key to sustainable oil palm: A deep learning approach to high-resolution satellite imagery,Smallholder oil palm mapping & tree detection,Satellite,,1,10.1016/j.apgeog.2023.102921,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9afb50>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9afbb0>,SEA,"2.1 Remote Sensing; 4/5 Practical/Adoption, 2.4 AI Models",Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9cc1c0>,Principe et al. (2023),"ASSESSMENT OF CROPLAND TRANSITION TO SOLAR FARMS AND OTHER LAND USE/COVER USING RS, GIS AND ANN-CA",Cropland transition to solar farms,Satellite,,0,10.5194/isprs-archives-XLVIII-M-1-2023-255-2023,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9cc220>,Philippines,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9cc280>,SEA,2.1 Remote Sensing; 2.3 Robotics,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9cc850>,Purwaningsih & Nasution (2024),The Identification of Hornbill Habitat Suitability in Batang Gadis National Park: Geospatial Predictive Modeling,Hornbill habitat suitability modeling,NA (Geospatial Predictive Modeling),,0,10.1117/12.3009666,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9cc8b0>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9cc910>,SEA,General,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9ccee0>,Putra & Wijayanto (2023),Automatic detection and counting of oil palm trees using remote sensing and object-based deep learning,Oil palm tree detection & counting,"Satellite, Drone",,1,10.1016/j.rsase.2022.100914,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9ccf40>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9ccfa0>,SEA,"2.1 Remote Sensing, 2.4 AI Models",No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9cd570>,Putra et al. (2025),New Emerging and Comprehensive Land Mapping Unit at Detailed Scale: Integrating Random Forest Analysis and Remote Sensing Techniques for Sustainable Land Management,Land mapping unit development,Satellite,,0,10.20961/carakatani.v40i3.97530,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9cd5d0>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9cd630>,SEA,"2.1 Remote Sensing, 2.4 AI Models",No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9cdc00>,Puttinaovarat et al. (2024),Mobile Web Application for Durian Orchard Management and Geospatial Data Visualization Using Deep Learning,Durian orchard management application,Drone,,1,10.18421/TEM133-12,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9cdc60>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9cdcc0>,SEA,"2.1 Remote Sensing, 2.4 AI Models",No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9ce290>,Puttinaovarat et al. (2024),Oil Palm Bunch Ripeness Classification and Plantation Verification Platform: Leveraging Deep Learning and Geospatial Analysis and Visualization,Oil palm bunch ripeness classification platform,Satellite,,1,10.3390/ijgi13050158,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9ce2f0>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9ce350>,SEA,"2.1 Remote Sensing, 2.4 AI Models",No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9ce920>,Pyone et al. (2024),"Understanding the transition of community land use from shifting cultivation to cash cropping in southern Tanintharyi, Myanmar",LULC change from shifting cultivation to cash cropping,Satellite,,0,10.1002/pan3.10631,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9ce980>,Myanmar,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9ce9e0>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9cefb0>,Qaisrani et al. (2025),Evaluating and mapping spatial drought in northeast Thailand: utilizing analytic hierarchy process and random forest algorithms,Spatial drought mapping,NA (Geospatial datasets),,0,10.1080/10106049.2025.2518413,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9cf010>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9cf070>,SEA,General,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9cf640>,Quang & Thi (2023),Delineation of rice yield and production in combination of crop model and remote sensing,Rice yield & production delineation,Satellite,,1,10.9755/ejfa.2023.3172,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9cf6a0>,Vietnam,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9cf700>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9cfcd0>,Rachman et al. (2024),"Insights from 30 Years of Land Use/Land Cover Transitions in Jakarta, Indonesia, via Intensity Analysis",LULC transition intensity analysis,Satellite,,0,10.3390/land13040545,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9cfd30>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9cfd90>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9e83a0>,Rahmi et al. (2025),"Utilization of Multisensor Satellite Data for Developing Spatial Distribution of Methane Emission on Rice Paddy Field in Subang, West Java",Methane emission estimation,Satellite,,0,10.3390/rs17132154,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9e8400>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9e8460>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9e8a30>,Rahmi et al. (2025),Spatial modelling of regional drought severity index based on multiple criteria analysis using cloud-based remote sensing data in agriculture land,Regional drought severity index modeling,Satellite,,0,10.1007/s40808-024-02267-x,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9e8a90>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9e8af0>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9e90c0>,Rahman et al. (2025),Mapping Boro Rice Cultivation in Bangladesh Using Multi-Temporal MODIS Data and Phenological Approach,Boro rice cultivation mapping,Satellite,,1,10.1007/s41748-025-00586-2,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9e9120>,Bangladesh,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9e9180>,Non-SEA → review for removal,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9e9750>,Rahman et al. (2023),"Priority Corridor Zone for Human-Tiger Conflict Mitigation: A Landscape Connectivity Approach in West Sumatra Region, Indonesia",Human-tiger conflict mitigation corridor,"NA (GIS, Spatial Modeling)",,0,10.1016/j.jnc.2023.126501,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9e97b0>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9e9810>,SEA,General,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9e9de0>,Ramachandran et al. (2024),Automatic deforestation driver attribution using deep learning on satellite imagery,Deforestation driver attribution,Satellite,,0,10.1016/j.gloenvcha.2024.102843,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9e9e40>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9e9ea0>,SEA,"2.1 Remote Sensing, 2.4 AI Models",Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9ea470>,Ramadhani et al. (2024),Mapping of Garlic Fields Using Rules-based Techniques and Remote Sensing with A Limited Dataset,Garlic field mapping,Satellite,,1,10.1117/12.3009195,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9ea4d0>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9ea530>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9eab00>,Ramdhani et al. (2023),"Food Crop Land Allocation: Integrating Land Suitability Analysis and Spatial Forestry, Study Case Katingan, Indonesia",Food crop land allocation,NA (GIS),,0,10.7226/jtfm.29.3.187,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9eab60>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9eabc0>,SEA,General,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9eb190>,Ramli et al. (2023),"Temporal changes in Land Use and Land Cover (LULC) and local climate in the Krueng Peusangan Watershed (KPW) area, Aceh, Indonesia",LULC change & local climate impact,Satellite,,0,10.12775/bgss-2023-0010,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9eb1f0>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9eb250>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9eb820>,Ramli et al. (2024),Weed Management Using UAV and Remote Sensing in Malaysia Paddy Field: A Review,Weed management in paddy fields,Drone,,1,10.47836/pjst.32.3.13,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9eb880>,Malaysia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9eb8e0>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9ebeb0>,Ramli et al. (2024),Detection of Paddy Plant Diseases Using Google Teachable Machine,Paddy plant disease detection,Drone,,1,10.1007/978-3-031-66965-1_35,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9ebf10>,Malaysia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9ebf70>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa08580>,Ramzan et al. (2025),Assessing the Potential Global Distribution of Monolepta spp. (Coleoptera: Chrysomelidae) using the MaxEnt Model,Pest distribution modeling,NA (GIS),,0,10.21162/PAKJAS/25.14,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa085e0>,Global (focus on Asia),<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa08640>,Background (keep),General,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa08c10>,Reardon et al. (2024),Emerging outsource agricultural services enable farmer adaptation in agrifood value chains: A product cycle perspective,Outsource agricultural services analysis,Drone,,1,10.1016/j.foodpol.2024.102711,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa08c70>,Global (Multiple),<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa08cd0>,Background (keep),2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa092a0>,Rendana et al. (2023),Effects of the built-up index and land surface temperature on the mangrove area change along the southern Sumatra coast,Mangrove area change assessment,Satellite,,0,10.1080/21580103.2023.2220576,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa09300>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa09360>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa09930>,Rezaldi et al. (2024),UAV-assisted heavy metal tracking in oil palm plantations: present applications and future prospects,Heavy metal tracking in oil palm plantations,Drone,,1,10.1080/2150704X.2023.2299268,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa09990>,"Indonesia, Malaysia",<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa099f0>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa09fc0>,Ridwana et al. (2024),"Evaluation of Machine Learning Models for Mapping Food Crops using Sentinel-2A Imagery in West Java, Indonesia",Food crop mapping,Satellite,,1,10.1051/e3sconf/202460003007,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa0a020>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa0a080>,SEA,"2.1 Remote Sensing, 2.4 AI Models",No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa0a650>,Riesnandar et al. (2024),Time Series Pattern of Radar Vegetation Index over Rubber Tree infected by Pestalotiopsis sp. leaf fall disease,Rubber leaf disease monitoring,Satellite,,1,10.1117/12.3009632,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa0a6b0>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa0a710>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa0ace0>,Rosyidy & Frimawaty (2024),Spatiotemporal analysis of oil palm land clearing,Spatiotemporal analysis of oil palm land clearing,Satellite,,1,10.22034/gjesm.2024.02.25,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa0ad40>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa0ada0>,SEA,2.1 Remote Sensing; 2.2 IoT,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa0b370>,Ruzlan et al. (2024),Weed control efficiency of unmanned aerial vehicle spray in replanting oil palm plantation areas,Weed control in oil palm plantations,Drone,others,1,10.1017/wsc.2024.91,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa0b3d0>,Malaysia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa0b430>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa0ba00>,Safari & Malian (2025),Plant disease mapping in paddy growing stages using remotely sensed data,Plant disease mapping in paddy fields,Satellite,,1,10.1007/s12665-024-11991-7,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa0ba60>,"Iran, Japan",<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa0bac0>,Non-SEA → review for removal,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba8240d0>,Safira et al. (2023),The Hazard of Soil Erosion and Sediment Yield Prediction for Krueng Mane Watershed in Indonesia,Soil erosion & sediment yield prediction,NA (GIS),,0,N/A,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba824130>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba824190>,SEA,General,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba824760>,Sah et al. (2023),Monitoring of three stages of paddy growth using multispectral vegetation index derived from UAV images,Paddy growth monitoring,Drone,ms,1,10.1016/j.ejrs.2023.11.005,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba8247c0>,Malaysia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba824820>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba824df0>,Sah et al. (2023),Extensive assessment of climate change impacts on coastal zone paddy growth using multispectral analysis and hydrodynamic modeling,Climate change impact on coastal paddy growth,"Drone, Hydrodynamic Modeling",ms,1,10.1016/j.scitotenv.2023.161585,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba824e50>,Malaysia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba824eb0>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba825480>,Sakamoto et al. (2024),Impacts of refugee influx on the local economy and environmental degradation in Bangladesh: A spatial multilevel autoregressive analysis,Refugee influx impact on economy & environment,Satellite,,0,10.1016/j.worlddev.2024.106729,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba8254e0>,Bangladesh,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba825540>,Non-SEA → review for removal,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba825b10>,Sales et al. (2024),"Land Suitability Evaluation of Cocoa (Theobroma cacao L.) Production Areas in Davao City, Philippines",Cocoa production land suitability,NA (GIS),,1,N/A,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba825b70>,Philippines,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba825bd0>,SEA,General,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba8261a0>,Samiei-Fard et al. (2024),"The Effect of Using a Geopedological Approach in Determining Land Quality Indicators, Land Degradation, and Development (Case Study: Caspian Sea Coast)",Land quality & degradation assessment,Satellite,,0,10.3390/environments11010020,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba826200>,Caspian Sea region,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba826260>,Non-SEA → review for removal,2.1 Remote Sensing,No
